timestamp,station,line,is_weekend,hour,time_slot,day_type,entry_flow,exit_flow,platform_passengers,outdoor_temp,outdoor_rh,solar_radiation,platform_temp,platform_rh,co2,people_load_kw,fresh_air_load_kw,envelope_load_kw,equipment_load_kw,total_cooling_load_kw,chiller_load_kw,fan_power_kw,pump_power_kw,hour_decimal,day_of_week,is_weekend_numeric,hour_sin,hour_cos,day_sin,day_cos,load_lag_1,load_lag_4,load_lag_8,load_lag_96
2025-07-01 00:00:00,Dongjiekou Station,Fuzhou Metro Line 1/Line 4 Interchange,False,0,late_night,weekday_medium,0,18,6,24.74,81.37,0,24.38,66.13,436.3,0.63,0.58,72,48.22,82.57,66.7,16.57,12.5,0,3,0,0,1,0.433883739117558,-0.900968867902419,82.57,82.57,82.57,82.57
2025-07-01 00:15:00,Dongjiekou Station,Fuzhou Metro Line 1/Line 4 Interchange,False,0,late_night,weekday_medium,0,31,9,26.35,85.24,0,24.32,65.97,420.8,0.94,1.84,72,48.37,107.69,84.47,18.62,15.47,0.25,3,0,0.0654031292301431,0.997858923238603,0.433883739117558,-0.900968867902419,82.57,82.57,82.57,82.57
2025-07-01 00:30:00,Dongjiekou Station,Fuzhou Metro Line 1/Line 4 Interchange,False,0,late_night,weekday_medium,17,1,8,26.14,84.29,0,24.39,64.8,427.9,0.84,2.05,72,48.22,96.81,91.41,16.75,15.18,0.5,3,0,0.130526192220052,0.99144486137381,0.433883739117558,-0.900968867902419,107.69,82.57,82.57,82.57
2025-07-01 00:45:00,Dongjiekou Station,Fuzhou Metro Line 1/Line 4 Interchange,False,0,late_night,weekday_medium,14,0,7,25.56,82.5,63.45,25.07,64.1,511.8,0.74,1.45,72.89,48.17,117.43,75.92,18.36,18.72,0.75,3,0,0.195090322016128,0.98078528040323,0.433883739117558,-0.900968867902419,96.81,82.57,82.57,82.57
2025-07-01 01:00:00,Dongjiekou Station,Fuzhou Metro Line 1/Line 4 Interchange,False,1,late_night,weekday_medium,0,0,6,25,81.58,0,24.27,64.18,432.1,0.63,0.78,72,48,99.75,96.03,16.57,15.17,1,3,0,0.258819045102521,0.965925826289068,0.433883739117558,-0.900968867902419,117.43,82.57,82.57,82.57
2025-07-01 01:15:00,Dongjiekou Station,Fuzhou Metro Line 1/Line 4 Interchange,False,1,late_night,weekday_medium,26,4,5,25.8,81.45,0,24.41,65.72,448.1,0.52,1.89,72,48.36,98.35,108.91,16.79,15.41,1.25,3,0,0.321439465303162,0.946930129495106,0.433883739117558,-0.900968867902419,99.75,107.69,82.57,82.57
2025-07-01 01:30:00,Dongjiekou Station,Fuzhou Metro Line 1/Line 4 Interchange,False,1,late_night,weekday_medium,16,8,6,25.75,82.59,0,24.45,65.41,523.9,0.63,1.65,72,48.29,109.01,65.57,17.57,17.15,1.5,3,0,0.38268343236509,0.923879532511287,0.433883739117558,-0.900968867902419,98.35,96.81,82.57,82.57
2025-07-01 01:45:00,Dongjiekou Station,Fuzhou Metro Line 1/Line 4 Interchange,False,1,late_night,weekday_medium,0,15,6,25.09,82.62,62.11,24.49,65.22,454.9,0.63,0.85,72.87,48.18,101.96,101.07,16.57,13.53,1.75,3,0,0.442288690219001,0.896872741532688,0.433883739117558,-0.900968867902419,109.01,117.43,82.57,82.57
2025-07-01 02:00:00,Dongjiekou Station,Fuzhou Metro Line 1/Line 4 Interchange,False,2,late_night,weekday_medium,6,0,7,26.33,83.04,0,24.78,67.07,445.6,0.74,1.96,72,48.07,107.78,95.31,17.1,15.95,2,3,0,0.5,0.866025403784439,0.433883739117558,-0.900968867902419,101.96,99.75,82.57,82.57
2025-07-01 02:15:00,Dongjiekou Station,Fuzhou Metro Line 1/Line 4 Interchange,False,2,late_night,weekday_medium,0,0,4,24.51,85.78,0,24.79,66.75,420,0.42,0.4,72,48,119.49,100.98,17.48,15.24,2.25,3,0,0.555570233019602,0.831469612302545,0.433883739117558,-0.900968867902419,107.78,98.35,107.69,82.57
